name,online_order,rate,votes,location,cuisines,approx_cost(for two people),Cluster
Jalsa,Yes,4.1,775,Banashankari,"North Indian, Mughlai, Chinese",800.0,2
Spice Elephant,Yes,4.1,787,Banashankari,"Chinese, North Indian, Thai",800.0,2
San Churro Cafe,Yes,3.8,918,Banashankari,"Cafe, Mexican, Italian",800.0,2
Addhuri Udupi Bhojana,No,3.7,88,Banashankari,"South Indian, North Indian",300.0,2
Grand Village,No,3.8,166,Basavanagudi,"North Indian, Rajasthani",600.0,2
Timepass Dinner,Yes,3.8,286,Basavanagudi,North Indian,600.0,2
Rosewood International Hotel - Bar & Restaurant,No,3.6,8,Mysore Road,"North Indian, South Indian, Andhra, Chinese",800.0,2
Onesta,Yes,4.6,2556,Banashankari,"Pizza, Cafe, Italian",600.0,4
Penthouse Cafe,Yes,4.0,324,Banashankari,"Cafe, Italian, Continental",700.0,2
Smacznego,Yes,4.2,504,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550.0,2
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,4.1,402,Banashankari,Cafe,500.0,2
Cafe Shuffle,Yes,4.2,150,Banashankari,"Cafe, Italian, Continental",600.0,2
The Coffee Shack,Yes,4.2,164,Banashankari,"Cafe, Chinese, Continental, Italian",500.0,2
Caf-Eleven,No,4.0,424,Banashankari,"Cafe, Continental",450.0,2
San Churro Cafe,Yes,3.8,918,Banashankari,"Cafe, Mexican, Italian",800.0,2
Cafe Vivacity,Yes,3.8,90,Banashankari,Cafe,650.0,2
Catch-up-ino,Yes,3.9,133,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,2
Kirthi's Biryani,Yes,3.8,144,Banashankari,"Chinese, Cafe, Italian",700.0,2
T3H Cafe,No,3.9,93,Banashankari,"Cafe, Italian, American",300.0,2
360 Atoms Restaurant And Cafe,Yes,3.1,13,Banashankari,"Cafe, Chinese, Continental, Italian",400.0,0
The Vintage Cafe,Yes,3.0,62,Banashankari,"Cafe, French, North Indian",400.0,0
Woodee Pizza,Yes,3.7,180,Banashankari,"Cafe, Pizza, Fast Food, Beverages",500.0,2
Cafe Coffee Day,No,3.6,28,Banashankari,"Cafe, Fast Food",900.0,2
My Tea House,Yes,3.6,62,Banashankari,"Italian, Fast Food, Cafe, European",600.0,2
Hide Out Cafe,No,3.7,31,Banashankari,Cafe,300.0,2
CAFE NOVA,No,3.2,11,Banashankari,"Cafe, Bakery",600.0,0
Coffee Tindi,Yes,3.8,75,Banashankari,"Cafe, South Indian",200.0,2
Sea Green Cafe,No,3.3,4,Banashankari,"Cafe, Fast Food, Beverages",500.0,0
Cuppa,No,3.3,23,Banashankari,"Cafe, Fast Food",550.0,0
Srinathji's Cafe,No,3.8,148,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",550.0,2
Redberrys,Yes,4.0,219,Basavanagudi,"Cafe, Italian",600.0,2
Foodiction,Yes,2.8,506,Banashankari,"North Indian, Fast Food, Chinese, Burger",500.0,0
Sweet Truth,Yes,3.9,35,Banashankari,"Bakery, Desserts",500.0,2
Ovenstory Pizza,Yes,3.9,172,Banashankari,Pizza,750.0,2
Faasos,Yes,4.2,415,Banashankari,"North Indian, Biryani, Fast Food",500.0,2
Behrouz Biryani,Yes,3.9,230,Banashankari,Biryani,650.0,2
Fast And Fresh,Yes,2.8,91,Banashankari,"North Indian, Chinese, Fast Food",400.0,0
Szechuan Dragon,Yes,4.2,1647,Banashankari,"Chinese, Thai, Momos",600.0,4
Empire Restaurant,Yes,4.4,4884,Jayanagar,"North Indian, Mughlai, South Indian, Chinese",750.0,4
Maruthi Davangere Benne Dosa,Yes,4.0,17,Banashankari,South Indian,150.0,2
Chaatimes,Yes,3.8,133,Basavanagudi,"Street Food, Fast Food",200.0,2
Havyaka Mess,No,3.9,28,Banashankari,South Indian,300.0,2
McDonald's,Yes,3.9,286,Banashankari,"Burger, Fast Food",500.0,2
Domino's Pizza,Yes,3.9,540,Banashankari,"Pizza, Fast Food",800.0,2
Onesta,Yes,4.6,2556,Banashankari,"Pizza, Cafe, Italian",600.0,4
Hotboxit,No,3.8,36,Banashankari,"North Indian, Continental, Italian",400.0,2
Kitchen Garden,Yes,3.6,244,Kumaraswamy Layout,"North Indian, Chinese",300.0,2
Recipe,Yes,4.0,804,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",450.0,2
Beijing Bites,Yes,3.7,679,Rajarajeshwari Nagar,"Chinese, Thai",850.0,2
Tasty Bytes,Yes,3.1,245,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",300.0,0
Petoo,No,3.7,21,Banashankari,North Indian,450.0,2
Shree Cool Point,Yes,4.1,28,Vijay Nagar,"Fast Food, Street Food, Beverages",150.0,2
Corner House Ice Cream,No,4.3,345,Banashankari,"Ice Cream, Desserts",400.0,2
Biryanis And More,Yes,4.0,618,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,2
Roving Feast,No,4.0,1047,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",450.0,2
FreshMenu,Yes,3.9,627,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,2
Banashankari Donne Biriyani,Yes,3.8,104,Banashankari,"Biryani, Fast Food",300.0,2
Wamama,Yes,4.2,354,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,2
Five Star Chicken,No,3.6,55,Banashankari,"Fast Food, Burger",200.0,2
XO Belgian Waffle,Yes,3.7,17,Banashankari,"Desserts, Beverages",400.0,2
Peppy Peppers,No,4.2,244,Banashankari,"Italian, North Indian, Mexican",800.0,2
Goa 0 Km,Yes,3.6,163,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,2
Chinese Kitchen,Yes,3.8,58,Basavanagudi,Chinese,150.0,2
1947,No,4.0,808,Banashankari,"North Indian, Chinese",850.0,2
Cake of the Day,No,3.7,78,Banashankari,Bakery,150.0,2
Kabab Magic,Yes,4.1,1720,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",400.0,2
Namma Brahmin's Idli,Yes,3.6,34,Jayanagar,South Indian,100.0,2
Gustoes Beer House,No,4.1,868,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,1
Sugar Rush,No,3.8,39,Banashankari,"Bakery, Desserts",300.0,2
Burger King,Yes,3.2,71,Basavanagudi,"Burger, Fast Food, Beverages",600.0,0
The Good Bowl,Yes,3.6,6,Banashankari,"Italian, North Indian, Biryani",500.0,2
The Biryani Cafe,No,4.1,520,Banashankari,"Biryani, Chinese, Kebab",300.0,2
LSD Cafe,No,2.9,84,Banashankari,"Chinese, Continental, Italian, North Indian",700.0,0
Rolls On Wheels,No,3.6,299,Banashankari,"Fast Food, Rolls, Momos",300.0,2
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,4.1,558,Basavanagudi,South Indian,150.0,2
Devanna Dum Biriyani Centre,Yes,3.6,28,Banashankari,"Biryani, South Indian",300.0,2
Kolbeh,No,3.7,22,Banashankari,Fast Food,500.0,2
Upahar Sagar,No,3.8,39,Banashankari,"South Indian, Chinese, North Indian",350.0,2
Kadalu Sea Food Restaurant,Yes,3.8,153,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,2
Frozen Bottle,Yes,4.2,146,Banashankari,"Beverages, Desserts, Ice Cream",400.0,2
Parimala Sweets,No,3.5,14,Banashankari,"Mithai, Street Food",200.0,0
Vaishali Deluxe,No,3.8,42,Banashankari,"North Indian, Chinese",700.0,2
The Big O Bakes,No,4.0,66,Banashankari,"Bakery, Desserts",300.0,2
Meghana Foods,Yes,4.4,4401,Jayanagar,"Biryani, North Indian, Chinese",600.0,4
Krishna Sagar,No,3.5,31,Banashankari,North Indian,200.0,0
Dessert Rose,No,3.5,7,Banashankari,Desserts,500.0,0
Chickpet Donne Biryani House,No,3.7,21,Banashankari,Biryani,250.0,2
Thanco's Natural Ice Creams,No,3.2,9,Banashankari,Ice Cream,300.0,0
Nandhini Deluxe,No,2.6,283,Banashankari,North Indian,600.0,0
Vi Ra's Bar and Restaurant,No,3.3,62,Banashankari,"South Indian, North Indian, Chinese",800.0,0
Kaggis,No,3.8,64,Banashankari,"Fast Food, Bakery",250.0,2
Ayda Persian Kitchen,No,3.7,39,Banashankari,"North Indian, Iranian",950.0,2
Chatar Patar,No,3.7,65,Banashankari,"Fast Food, Street Food",300.0,2
Polar Bear,Yes,3.8,71,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",400.0,2
Kidambi's Kitchen,No,3.5,52,Banashankari,South Indian,300.0,0
Mane Thindi,No,3.7,130,Banashankari,South Indian,200.0,2
Kotian Karavali Restaurant,No,3.5,10,Banashankari,"South Indian, Biryani",300.0,0
Floured-Baked With Love,No,3.8,45,Banashankari,Bakery,400.0,2
CAFE NOVA,No,3.2,11,Banashankari,"Cafe, Bakery",600.0,0
Cakes & Slices,No,3.5,13,Banashankari,"Bakery, Desserts",300.0,0
Spice 9,No,3.4,8,Banashankari,"Biryani, North Indian, Chinese, Fast Food",300.0,0
Naveen Kabab & Biriyani Mane,No,3.2,9,Banashankari,Biryani,300.0,0
Katriguppe Donne Biryani,No,3.2,4,Banashankari,North Indian,300.0,0
Atithi Point Ande Ka Funda,No,3.1,29,Banashankari,North Indian,150.0,0
Just Bake,No,3.4,8,Banashankari,"Bakery, Desserts",400.0,0
K27 - The Pub,No,3.1,30,Banashankari,"Chinese, North Indian",1000.0,0
Bengaluru Coffee House,Yes,4.1,201,Banashankari,"South Indian, North Indian, Chinese, Street Food",300.0,2
New Mangalore Lunch Home,No,3.3,7,Banashankari,"Mangalorean, South Indian, North Indian",200.0,0
Coffee Bytes,No,3.1,6,Banashankari,"Fast Food, South Indian",100.0,0
Parjanya Chat Zone,No,3.3,17,Banashankari,"Street Food, Fast Food",200.0,0
Kwality Wall's Swirl's Happiness Station,No,2.9,25,Banashankari,"Ice Cream, Desserts",200.0,0
Ruchi Maayaka,No,3.3,8,Banashankari,South Indian,100.0,0
Anna Kuteera,Yes,4.0,771,Banashankari,"South Indian, North Indian, Chinese",450.0,2
Darbar,No,3.0,98,Banashankari,"North Indian, Chinese",800.0,0
Vijayalakshmi,Yes,3.9,47,Basavanagudi,South Indian,200.0,2
Sri Udupi Food Hub,Yes,4.1,175,Jayanagar,"South Indian, North Indian, Chinese, Beverages",500.0,2
Udupi Upahar,Yes,3.8,58,Banashankari,"South Indian, Chinese, North Indian, Juices",300.0,2
House Of Kebabs,Yes,3.8,540,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",650.0,2
Roll N Rock,Yes,3.8,124,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",400.0,2
BOX8- Desi Meals,Yes,4.1,340,Banashankari,"North Indian, Mughlai, Fast Food",500.0,2
KFC,Yes,3.8,505,Banashankari,"Burger, Fast Food",450.0,2
Roll Over,Yes,4.1,438,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,2
Imperial Restaurant,Yes,3.7,264,Mysore Road,"North Indian, Chinese, Biryani, Beverages",750.0,2
Lassi Shop,Yes,3.9,169,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",150.0,2
The Fortuna,Yes,3.0,67,Kumaraswamy Layout,"North Indian, Chinese",250.0,0
Wahab,Yes,3.7,97,Jayanagar,"North Indian, Mughlai, Chinese",350.0,2
Al Diwan Biryanis And More,Yes,3.3,12,Basavanagudi,Biryani,300.0,0
New Gowda's Fried Chicken,Yes,3.3,12,Banashankari,Biryani,300.0,0
Canton,Yes,3.6,195,Jayanagar,"Chinese, Seafood, Biryani",800.0,2
Diabetics Dezire Sugarless Sweets and Bakes,Yes,3.3,13,Basavanagudi,"Desserts, Mithai",300.0,0
The Blue Wagon - Kitchen,Yes,4.6,228,Jayanagar,"Cafe, Beverages",400.0,2
HOT COFFEE,Yes,4.1,70,Basavanagudi,"South Indian, Chinese",150.0,2
Patio 805,Yes,4.1,364,Jayanagar,"Thai, Vietnamese, Asian, Chinese",1200.0,1
Lassi Corner,Yes,3.7,107,Basavanagudi,"Beverages, Ice Cream",150.0,2
Sagar Deluxe,Yes,3.2,167,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",300.0,0
Kanti Sweets,Yes,4.0,115,Banashankari,"Mithai, Street Food",400.0,2
Vegetalia,Yes,3.7,27,Banashankari,"Italian, Pizza",400.0,2
Aramane Donne Biryani,Yes,3.5,57,Banashankari,Biryani,200.0,0
Ande Ka Funda,Yes,3.8,120,Banashankari,"North Indian, Fast Food, Rolls",250.0,2
Cake Ghar,Yes,3.8,15,Basavanagudi,Bakery,400.0,2
Energy Addaa,Yes,4.2,64,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,2
Bhattara Bhojana,Yes,3.6,66,Banashankari,South Indian,150.0,2
Tandoori Knight,Yes,3.0,290,Banashankari,"North Indian, Chinese, Biryani, Kebab",450.0,0
Dev Sagar - Food Street,Yes,4.1,233,Basavanagudi,Street Food,200.0,2
Mitraa Da Pizza,Yes,3.8,115,Kumaraswamy Layout,"Fast Food, Pizza",250.0,2
Paradise Premium,Yes,3.1,119,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",700.0,0
Grazers,Yes,3.9,291,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",650.0,2
Shakes Theory,Yes,4.5,155,Jayanagar,"Beverages, Sandwich",300.0,2
@Italy,Yes,4.1,305,Kumaraswamy Layout,Italian,700.0,2
Chilli Flakes,Yes,3.6,46,Banashankari,"Fast Food, Italian, Beverages",500.0,2
Calcutta Cafe,Yes,3.5,45,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",350.0,0
Old Mumbai Ice Cream,Yes,3.9,38,Banashankari,Ice Cream,150.0,2
Donne Biriyani House,Yes,3.9,441,Banashankari,"South Indian, North Indian, Chinese, Biryani",400.0,2
By 2 Coffee,Yes,3.9,25,Basavanagudi,South Indian,100.0,2
Kedia's Fun Food,Yes,4.3,630,Jayanagar,"North Indian, Street Food, Juices",200.0,2
Davangere Butter Dosa Hotel,Yes,3.8,25,Kumaraswamy Layout,South Indian,150.0,2
Just Shawarma,Yes,3.9,160,Kumaraswamy Layout,Arabian,300.0,2
Mini Punjabi Dhaba,Yes,4.2,287,Banashankari,North Indian,350.0,2
Mulabagilu Dosa,Yes,3.6,11,Basavanagudi,South Indian,100.0,2
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,4.1,402,Banashankari,Cafe,500.0,2
Gokul Veg,Yes,3.8,469,Basavanagudi,"North Indian, Chinese, Beverages",750.0,2
Olive - Era,Yes,3.3,511,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,0
Udupi Ruchi,Yes,3.9,57,Banashankari,"South Indian, North Indian, Chinese, Street Food",200.0,2
Madhappa Hindu Military Hotel,Yes,3.4,14,Banashankari,South Indian,300.0,0
